"netzbetreiber","netzbetreiberStrasse","netzbetreiberPlz","netzbetreiberOrt","gemeindeNummer","gemeindeName","postleitzahl","kanton"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","5584","Epalinges","1066","VD"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","5585","Jouxtens-Mézery","1008","VD"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","5586","Lausanne","1000 - 1053","VD"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","5587","Le Mont-sur-Lausanne","1052","VD"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","5589","Prilly","1008","VD"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","5648","Saint-Sulpice (VD)","1015 - 1025","VD"
"Direction des Services industriels","Place Chauderon","1003","Lausanne","6211","Collonges","1903","VS"
"Dorf- und Elektrokorporation Trübbach","Hauptstrasse","9477","Trübbach","3276","Wartau","7320 - 9479","SG"
"Dorfkorporation Bronschhofen Strom und Wasser","Hauptstrasse","9552","Bronschhofen","3427","Wil (SG)","9500 - 9552","SG"
"Dorfkorporation Ebnat-Kappel","Hofstrasse","9642","Ebnat-Kappel","3352","Ebnat-Kappel","9633 - 9643","SG"
"Dorfkorporation Mosnang, Elektrizitäts- und Wasserversorgung","Oberdorfstrasse","9607","Mosnang","3394","Mosnang","8376 - 9630","SG"
"Dorfkorporation Schwarzenbach SG, Elektrizität Wasser Gas TV","Poststrasse ","9536","Schwarzenbach","3405","Jonschwil","9242 - 9604","SG"
"Dorfkorporation Weite","Hauptstrasse ","9476","Weite","3276","Wartau","7320 - 9479","SG"
"DransGrid SA","Route ","1937","Orsières","6032","Bourg-Saint-Pierre","1946","VS"
"DransGrid SA","Route ","1937","Orsières","6033","Liddes","1945 - 1946","VS"
"DransGrid SA","Route ","1937","Orsières","6034","Orsières","1937 - 1944","VS"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2821","Arisdorf","4305 - 4422","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2822","Augst","4133 - 4303","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2823","Bubendorf","4410 - 4416","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2824","Frenkendorf","4133 - 4402","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2825","Füllinsdorf","4414","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2826","Giebenach","4303 - 4304","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2827","Hersberg","4423","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2828","Lausen","4415","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2829","Liestal","4410 - 4422","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2831","Pratteln","4133 - 4402","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2832","Ramlinsburg","4433","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2833","Seltisberg","4411 - 4412","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2834","Ziefen","4417","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2841","Anwil","4469","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2842","Böckten","4450 - 4461","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2843","Buckten","4444 - 4447","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2844","Buus","4462 - 4463","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2845","Diepflingen","4442","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2846","Gelterkinden","4444 - 4460","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2847","Häfelfingen","4445 - 4448","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2848","Hemmiken","4316 - 4466","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2849","Itingen","4450 - 4452","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2850","Känerkinden","4447","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2851","Kilchberg (BL)","4493 - 4496","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2852","Läufelfingen","4446 - 4634","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2853","Maisprach","4451 - 4464","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2854","Nusshof","4453","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2855","Oltingen","4494","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2856","Ormalingen","4460 - 4466","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2857","Rickenbach (BL)","4462","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2858","Rothenfluh","4467","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2859","Rümlingen","4444","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2860","Rünenberg","4445 - 4497","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2861","Sissach","4450","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2862","Tecknau","4492","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2863","Tenniken","4443 - 4456","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2864","Thürnen","4441 - 4450","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2865","Wenslingen","4493 - 4495","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2866","Wintersingen","4451","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2867","Wittinsburg","4442 - 4444","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2868","Zeglingen","4495","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2869","Zunzgen","4455","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2881","Arboldswil","4424 - 4425","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2882","Bennwil","4431 - 4457","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2884","Diegten","4447 - 4457","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2885","Eptingen","4458","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2886","Hölstein","4434 - 4457","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2887","Lampenberg","4432","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2888","Langenbruck","4438","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2890","Liedertswil","4436","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2891","Niederdorf","4424 - 4436","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2892","Oberdorf (BL)","4435 - 4436","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2893","Reigoldswil","4418","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2894","Titterten","4425","BL"
"EBL (Genossenschaft Elektra Baselland)","Mühlemattstrasse","4410","Liestal","2895","Waldenburg","4418 - 4438","BL"
"EDSH Energiedienst Steg-Hohtenn AG","Kirchstrasse","3940","Steg VS","6204","Steg-Hohtenn","3940 - 3949","VS"
"EDSR Energiedienste Staldenried AG","Zer Chirchu","3933","Staldenried","6294","Staldenried","3922 - 3933","VS"
"EE Energia Engiadina","Bagnera","7550","Scuol","3746","Zernez","7527 - 7543","GR"
"EE Energia Engiadina","Bagnera","7550","Scuol","3762","Scuol","7545 - 7554","GR"
"EE Energia Engiadina","Bagnera","7550","Scuol","3764","Valsot","7556 - 7560","GR"
"EGH Elektro-Genossenschaft Hünenberg","Chamerstrasse","6331","Hünenberg","1703","Hünenberg","5642 - 6333","ZG"
"EGW Weiach Elektrizitätsgenossenschaft",,"8187","Weiach","102","Weiach","8187","ZH"
"EKZ Einsiedeln AG, Dietikon","Dreikönigstrasse ","8022","Zürich","1301","Einsiedeln","8836 - 8847","SZ"
"ELEKTRA ENERGIE Genossenschaft","Dorfplatz","3673","Linden","614","Linden","3538 - 3673","BE"
"ELEKTRA ENERGIE Genossenschaft","Dorfplatz","3673","Linden","619","Oberdiessbach","3672 - 3674","BE"
"ELEKTRA ENERGIE Genossenschaft","Dorfplatz","3673","Linden","923","Buchholterberg","3614 - 3674","BE"
"ELEKTRA Genossenschaft Abtwil","Dorfmatt","5646","Abtwil AG","4221","Abtwil","5646","AG"
"ELEKTRA REMETSCHWIL, Genossenschaft","Schürmattstrasse","5453","Remetschwil","4039","Remetschwil","5453","AG"
"ELEKTRA UFHUSEN Genossenschaft","Gustihubel","6153","Ufhusen","1145","Ufhusen","4952 - 6153","LU"
"ELEKTRAGENOSSENSCHAFT OLSBERG","Mätteli ","4305","Olsberg","4257","Olsberg","4305","AG"
"ENERGIE USTER AG","Oberlandstrasse ","8610","Uster","198","Uster","8605 - 8617","ZH"
"EV Energieversorgung Biberist","Bleichemattstrasse ","4562","Biberist","2513","Biberist","4500 - 4574","SO"
"EV Gebenstorf AG","Gaswerkstrasse ","5200","Brugg","4029","Gebenstorf","5412","AG"
"EVG Grächen AG","Gemeindehaus","3925","Grächen","6285","Grächen","3925","VS"
"EVN Energieversorgung Nikolai AG","Bahnhofstrasse","3924","St. Niklaus VS","6283","Embd","3922 - 3926","VS"
"EVN Energieversorgung Nikolai AG","Bahnhofstrasse","3924","St. Niklaus VS","6292","St. Niklaus","3924 - 3927","VS"
"EVR Energieversorgung Raron AG","Theaterstrasse","3942","Raron","6199","Raron","3930 - 3942","VS"
"EVS Energieversorgung Schänis AG","Oberbirgstrasse","8718","Schänis","3315","Schänis","8718 - 8866","SG"
"EVTL Energieversorgung Talschaft Lötschen AG","Dorfstrasse","3918","Wiler (Lötschen)","6192","Blatten","3919","VS"
"EVTL Energieversorgung Talschaft Lötschen AG","Dorfstrasse","3918","Wiler (Lötschen)","6195","Ferden","3916 - 3917","VS"
"EVTL Energieversorgung Talschaft Lötschen AG","Dorfstrasse","3918","Wiler (Lötschen)","6197","Kippel","3917","VS"
"EVTL Energieversorgung Talschaft Lötschen AG","Dorfstrasse","3918","Wiler (Lötschen)","6202","Wiler (Lötschen)","3918 - 3919","VS"
"EVU Flums AG","Maltinastrasse","8890","Flums","3292","Flums","8888 - 8898","SG"
"EVWR Energiedienste Visp - Westlich Raron AG","Bahnhofplatz","3930","Visp","6291","Saas-Grund","3910","VS"
"EVWR Energiedienste Visp - Westlich Raron AG","Bahnhofplatz","3930","Visp","6293","Stalden (VS)","3922 - 3923","VS"
"EVWR Energiedienste Visp - Westlich Raron AG","Bahnhofplatz","3930","Visp","6296","Törbel","3922 - 3923","VS"
"EW Höfe AG","Schwerzistrasse","8807","Freienbach","1321","Feusisberg","8832 - 8847","SZ"
"EW Höfe AG","Schwerzistrasse","8807","Freienbach","1322","Freienbach","8640 - 8832","SZ"
"EW Höfe AG","Schwerzistrasse","8807","Freienbach","1323","Wollerau","8806 - 8834","SZ"
"EW Lachen AG","Neuheimstrasse","8853","Lachen SZ","1344","Lachen","8853","SZ"
"EW Lindau AG","Kempttalerweg","8312","Winterberg ZH","176","Lindau","8310 - 8317","ZH"
"EW Oftringen AG","Neugasse","4665","Oftringen","4280","Oftringen","4656 - 4800","AG"
"EW Rothrist AG","Bernstrasse","4852","Rothrist","4282","Rothrist","4802 - 4852","AG"
"EW Rothrist AG","Bernstrasse","4852","Rothrist","4287","Vordemwald","4803 - 4852","AG"
"EW Sirnach AG","Mattenrainstrasse","8370","Sirnach","4761","Sirnach","8370 - 9573","TG"
"EW WALD AG","Jonastrasse 12","8636","Wald","120","Wald (ZH)","8497 - 8637","ZH"
"EWA Energie Wasser Aarberg AG","Stadtplatz","3270","Aarberg","301","Aarberg","3250 - 3273","BE"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1201","Altdorf (UR)","6460","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1203","Attinghausen","6390 - 6468","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1205","Bürglen (UR)","6436 - 6469","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1207","Flüelen","6454 - 6460","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1209","Gurtnellen","6473 - 6482","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1211","Isenthal","6461","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1213","Schattdorf","6467 - 6469","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1214","Seedorf (UR)","6462 - 6466","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1215","Seelisberg","6377 - 6441","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1216","Silenen","6472 - 6476","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1217","Sisikon","6452","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1218","Spiringen","6464 - 8751","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1219","Unterschächen","6436 - 6465","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1220","Wassen","6484 - 6485","UR"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1366","Morschach","6433 - 6452","SZ"
"EWA-energieUri AG","Herrengasse","6460","Altdorf UR","1369","Riemenstalden","6452","SZ"
"EWD","Friedhofstrasse","4552","Derendingen","2517","Derendingen","4552 - 4553","SO"
"EWD Elektrizitätswerk Davos AG","Talstrasse","7270","Davos Platz","3851","Davos","7260 - 7494","GR"
"EWK Energie AG","Hauptstrasse","5742","Kölliken","4276","Kölliken","4813 - 5742","AG"
"EWK Herzogenbuchsee AG","Eisenbahnstrasse","3360","Herzogenbuchsee","979","Herzogenbuchsee","3360 - 3363","BE"
"EWL Genossenschaft","Äschmad","3822","Lauterbrunnen","584","Lauterbrunnen","3801 - 3826","BE"
"EWS AG","Gotthardstrasse","6438","Ibach","1056","Greppen","6353 - 6404","LU"
"EWS AG","Gotthardstrasse","6438","Ibach","1068","Vitznau","6354 - 6356","LU"
"EWS AG","Gotthardstrasse","6438","Ibach","1069","Weggis","6353 - 6356","LU"
"EWS AG","Gotthardstrasse","6438","Ibach","1311","Gersau","6410 - 6442","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1331","Küssnacht (SZ)","6402 - 6405","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1361","Alpthal","8849","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1364","Ingenbohl","6423 - 6440","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1366","Morschach","6433 - 6452","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1368","Oberiberg","8842 - 8843","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1370","Rothenthurm","6418","SZ"
"EWS AG","Gotthardstrasse","6438","Ibach","1374","Steinerberg","6416","SZ"
"EWS Energie AG","Winkelstrasse","5734","Reinach AG","4131","Beinwil am See","5712","AG"
"EWS Energie AG","Winkelstrasse","5734","Reinach AG","4132","Birrwil","5708","AG"
"EWS Energie AG","Winkelstrasse","5734","Reinach AG","4135","Gontenschwil","5046 - 5728","AG"
"EWS Energie AG","Winkelstrasse","5734","Reinach AG","4139","Menziken","5736 - 5737","AG"
"EWS Energie AG","Winkelstrasse","5734","Reinach AG","4141","Reinach (AG)","5734","AG"
"EWS Energie AG","Winkelstrasse","5734","Reinach AG","4147","Zetzwil","5732","AG"
"EWZ Elektrizitätswerk Zermatt AG","Metzggasse","3920","Zermatt","6300","Zermatt","3920","VS"
"Einheitsgemeinde Ermatingen, Elektrizitätsversorgung","Hauptstrasse ","8272","Ermatingen","4646","Ermatingen","8272 - 8273","TG"
"Einheitsgemeinde Müllheim, Elektrizitätsversorgung","Frauenfelderstrasse","8555","Müllheim Dorf","4831","Müllheim","8555","TG"
"Einheitsgemeinde Raperswilen, Elektrizität","Ifangstrasse ","8558","Raperswilen","4846","Raperswilen","8558","TG"
"Einwohner- & Ortsbürgergemeinde Niederwil AG, Elektrizitätsversorgung","Hauptstrasse","5524","Niederwil AG","4072","Niederwil (AG)","5524","AG"
"Einwohnergemeinde Aarwangen, Elektrizitätsversorgung","Langenthalstrasse","4912","Aarwangen","321","Aarwangen","4912 - 4922","BE"
"Einwohnergemeinde Aegerten, Elektroversorgung","Schulstrasse","2558","Aegerten","731","Aegerten","2558","BE"
"Einwohnergemeinde Arch, Elektrizitätsversorgung","Unterdorfstrasse","3296","Arch","381","Arch","3296","BE"
"Einwohnergemeinde Bellmund, Elektrizitätsversorgung","Hohlenweg","2564","Bellmund","732","Bellmund","2562 - 2564","BE"
"Einwohnergemeinde Bettwil, Elektrizitätsversorgung","Schulhausstrasse ","5618","Bettwil","4227","Bettwil","5618 - 5632","AG"
"Einwohnergemeinde Biglen, Stromversorgung","Hohle ","3507","Biglen","603","Biglen","3507","BE"
"Einwohnergemeinde Birmenstorf AG, Elektrizitätsversorgung","Badenerstrasse","5413","Birmenstorf AG","4024","Birmenstorf (AG)","5406 - 5413","AG"
"Einwohnergemeinde Brienz, Elektrizitätsversorgung","Hauptstrasse","3855","Brienz BE","573","Brienz (BE)","3855","BE"
"Einwohnergemeinde Brügg, Elektrizitätsversorgung","Obergasse ","2555","Brügg","733","Brügg","2503 - 2555","BE"
"Einwohnergemeinde Büetigen, Elektroversorgung","Hauptstrasse","3263","Büetigen","382","Büetigen","2557 - 3263","BE"
"Einwohnergemeinde Diessbach bei Büren, Elektrizitätsversorgung",,"3264","Diessbach b. Büren","385","Diessbach bei Büren","3264","BE"
"Einwohnergemeinde Dintikon, Elektrizitätswerk","Altweg","5606","Dintikon","4194","Dintikon","5606","AG"
"Einwohnergemeinde Ins, Elektrizitätsversorgung","Dorfplatz","3232","Ins","496","Ins","3232 - 3236","BE"
"Einwohnergemeinde Kallnach, Stromversorgung","Schmittenrain","3283","Kallnach","304","Kallnach","3207 - 3283","BE"
"Einwohnergemeinde Laufenburg, Städt. Elektrizitätsversorung","Spitalstrasse ","5080","Laufenburg","4170","Laufenburg","5080 - 5085","AG"
"Einwohnergemeinde Lengnau, Finanzverwaltung, Elektrizität-, Wasser-, Abwasser-, Abfallentsorgung","Brunnenplatz ","2543","Lengnau b.Biel","387","Lengnau (BE)","2543","BE"
"Einwohnergemeinde Madiswil, Elektrizitätsversorgung",,"4934","Madiswil","332","Madiswil","4919 - 4936","BE"
"Einwohnergemeinde Melchnau, Elektrizitätsversorgung",,"4917","Melchnau","333","Melchnau","4917 - 6147","BE"
"Einwohnergemeinde Muhen, Elektrizitaetsversorgung","Schulstrasse","5037","Muhen","4009","Muhen","5037","AG"
"Einwohnergemeinde Nidau, Elektrizitätsversorgung","Schulgasse","2560","Nidau","743","Nidau","2503 - 2560","BE"
"Einwohnergemeinde Niederbipp, Elektrizitätsversorgung","Dorfstrasse","4704","Niederbipp","981","Niederbipp","4704","BE"
"Einwohnergemeinde Oberdiessbach, Elektrizitätsversorgung","Gemeindeplatz","3672","Oberdiessbach","619","Oberdiessbach","3672 - 3674","BE"
"Einwohnergemeinde Pieterlen, Stromverkauf","Hauptstrasse","2542","Pieterlen","392","Pieterlen","2542","BE"
"Einwohnergemeinde Port, Elektrizitätversorgung","Lohngasse","2562","Port","745","Port","2560 - 2562","BE"
"Einwohnergemeinde Roggwil, Elektrizitätswerk",,"4914","Roggwil BE","337","Roggwil (BE)","4914","BE"
"Einwohnergemeinde Safnern, Elektroversorgung","Hauptstrasse","2553","Safnern","746","Safnern","2553","BE"
"Einwohnergemeinde Schafisheim, Elektrizitätsversorgung","Winkelgasse ","5503","Schafisheim","4207","Schafisheim","5503","AG"
"Einwohnergemeinde Seedorf, Elektrizitätsversorgung","Bernstrasse","3267","Seedorf BE","312","Seedorf (BE)","3035 - 3270","BE"
"Einwohnergemeinde Siselen, Elektrizitätsversorgung","Käsereiweg","2577","Siselen BE","499","Siselen","2577","BE"
"Einwohnergemeinde Sisseln, Strom","Schulhausstrasse","4334","Sisseln AG","4177","Sisseln","4334","AG"
"Einwohnergemeinde Unterlunkhofen, Elektrizitätsversorgung","Rottenschwilerstrasse","8918","Unterlunkhofen","4079","Unterlunkhofen","8918","AG"
"Einwohnergemeinde Ursenbach, Elektrizitätsversorgung","Dorf","4937","Ursenbach","344","Ursenbach","4936 - 4943","BE"
"Einwohnergemeinde Villigen, Elektrizitätsversorgung",,"5234","Villigen","4121","Villigen","5233 - 5234","AG"
"Einwohnergemeinde Wilderswil, Elektrizitätsversorgung",,"3812","Wilderswil","594","Wilderswil","3812","BE"
"Einwohnergemeinde Windisch, Elektrizitätsversorgung","Dohlenzelgstrasse ","5210","Windisch","4123","Windisch","5210","AG"
"Einwohnergemeinde Wohlenschwil, Elektrizitätsversorgung","Hauptstrasse","5512","Wohlenschwil","4046","Wohlenschwil","5506 - 5512","AG"
"Einwohnergemeinde Würenlingen, Elektrizitätsversorgung","Dorfstrasse","5303","Würenlingen","4047","Würenlingen","5303","AG"
"Einwohnergemeinde Zeihen, Elektra, Elektrizitätsversorgung","Bahnhofstrasse","5079","Zeihen","4183","Zeihen","5079","AG"
"Einwohnergemeinde Zeiningen, Elektrizitätsversorgung","Kirchweg ","4314","Zeiningen","4263","Zeiningen","4314 - 4323","AG"
"Einwohnergemeinde Zufikon, Elektrizitätsversorgung","Schulstrasse ","5621","Zufikon","4083","Zufikon","5621","AG"
"Einwohnergemeinde, Rüti bei Büren, Stromversorgung","Bachstrasse","3295","Rüti b. Büren","393","Rüti bei Büren","3295","BE"
"Elektra Andwil Stromversorgung","Lätschenstrasse ","9204","Andwil","3441","Andwil (SG)","9204 - 9212","SG"
"Elektra Berg SG, Stromversorgung","Dorfstrasse","9305","Berg SG","3211","Berg (SG)","9300 - 9306","SG"
"Elektra Berg SG, Stromversorgung","Dorfstrasse","9305","Berg SG","3217","Steinach","9305 - 9323","SG"
"Elektra Berneck, Stromversorgung","Rathausplatz ","9442","Berneck","3233","Berneck","9411 - 9442","SG"
"Elektra Böttstein","Birchweg","5315","Böttstein","4303","Böttstein","5314 - 5315","AG"
"Elektra Emmenmatt Genossenschaft","Schüpbachstrasse ","3543","Emmenmatt","903","Lauperswil","3434 - 3551","BE"
"Elektra Fulenbach (EFU)","Innere Weid","4629","Fulenbach","2575","Fulenbach","4629","SO"
"Elektra Gams Genossenschaft","Gasenzenstrasse","9473","Gams","3272","Gams","9473 - 9658","SG"
"Elektra Genossenschaft Arni-Islisberg","Alte Lunkhoferstrasse","8905","Arni AG","4061","Arni (AG)","8905","AG"
"Elektra Genossenschaft Arni-Islisberg","Alte Lunkhoferstrasse","8905","Arni AG","4084","Islisberg","8905","AG"
"Elektra Genossenschaft Auw","Alikonerstrasse","5644","Auw","4223","Auw","5637 - 6277","AG"
"Elektra Genossenschaft Baldingen","Freienwilerstrasse","5420","Ehrendingen","4324","Zurzach","5323 - 5466","AG"
"Elektra Genossenschaft Holderbank","Rütteliweg ","4718","Holderbank","2425","Holderbank (SO)","4438 - 4718","SO"
"Elektra Genossenschaft Kaiserstuhl","Gässliackerstrasse ","5415","Nussbaumen","4324","Zurzach","5323 - 5466","AG"
"Elektra Genossenschaft Leibstadt","Neumattring","5325","Leibstadt","4311","Leibstadt","5325","AG"
"Elektra Genossenschaft Oberlunkhofen","Zürcherstrasse","8917","Oberlunkhofen","4073","Oberlunkhofen","8917","AG"
"Elektra Genossenschaft Rietheim","Gässliackerstrasse ","5415","Nussbaumen","4324","Zurzach","5323 - 5466","AG"
"Elektra Gretzenbach AG","Köllikerstrasse","5014","Gretzenbach","2576","Gretzenbach","4658 - 5014","SO"
"Elektra Hergiswil-Dorf Genossenschaft","Chrüzmatte ","6133","Hergiswil b. Willisau","1132","Hergiswil bei Willisau","6125 - 6156","LU"
"Elektra Hergiswil-Dorf Genossenschaft","Chrüzmatte ","6133","Hergiswil b. Willisau","1151","Willisau","6122 - 6248","LU"
"Elektra Horn AG","Tübacherstrasse ","9326","Horn","4421","Horn","9326","TG"
"Elektra Häuslenen","Büelacker","8522","Häuslenen","4551","Aadorf","8355 - 9547","TG"
"Elektra Kesswil","Edenstr. ","8593","Kesswil","4426","Kesswil","8593","TG"
"Elektra Korporation EKW","Dorf","9427","Wolfhalden","3038","Wolfhalden","9410 - 9428","AR"
"Elektra Luthern Genossenschaft","Sägewerk","6156","Luthern","1135","Luthern","4952 - 6156","LU"
"Elektra Maisprach, Genossenschaft","Wintersingerstrasse","4464","Maisprach","2853","Maisprach","4451 - 4464","BL"
"Elektra Mettauertal und Umgebung Genossenschaft (EMU)","Hauptstrasse","5277","Hottwil","4105","Mandach","5318","AG"
"Elektra Mettauertal und Umgebung Genossenschaft (EMU)","Hauptstrasse","5277","Hottwil","4176","Schwaderloch","5326","AG"
"Elektra Mettauertal und Umgebung Genossenschaft (EMU)","Hauptstrasse","5277","Hottwil","4184","Mettauertal","5273 - 5277","AG"
"Elektra Mettauertal und Umgebung Genossenschaft (EMU)","Hauptstrasse","5277","Hottwil","4307","Full-Reuenthal","5324","AG"
"Elektra Mettauertal und Umgebung Genossenschaft (EMU)","Hauptstrasse","5277","Hottwil","4313","Leuggern","5316 - 5317","AG"
"Elektra Mümliswil-Ramiswil Genossenschaft","Obere Weihermatt","4717","Mümliswil","2428","Mümliswil-Ramiswil","4229 - 4719","SO"
"Elektra Neuendorf","Mattenweg","4623","Neuendorf","2404","Neuendorf","4622 - 4623","SO"
"Elektra Niederbuchsiten (ENI)","Dorfstrasse","4626","Niederbuchsiten","2405","Niederbuchsiten","4626","SO"
"Elektra Niederbüren, Stromversorgung","Gossauerstrasse","9246","Niederbüren","3422","Niederbüren","9200 - 9246","SG"
"Elektra Niederbüren, Stromversorgung","Gossauerstrasse","9246","Niederbüren","3443","Gossau (SG)","9015 - 9212","SG"
"Elektra Oberegg","Ebenaustrasse","9413","Oberegg","3111","Oberegg","9413 - 9450","AI"
"Elektra Opfersei Genossenschaft","Ober-Kurzhubel","6133","Hergiswil b. Willisau","1132","Hergiswil bei Willisau","6125 - 6156","LU"
"Elektra Reigoldswil Genossenschaft","Oberbiel ","4418","Reigoldswil","2893","Reigoldswil","4418","BL"
"Elektra Rudolfstetten-Friedlisberg AG","Friedlisbergstrasse","8964","Rudolfstetten","4075","Rudolfstetten-Friedlisb.","8964","AG"
