 Year ; Cultura ; Crop ; Region ; Council ; Distrito ; Nut2 ; Nut3 ;TSI;Pre;StateSupport
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Mourão ; Évora ; Alentejo ; Alentejo Central ;703820.43;9750.82;5720.19
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Portel ; Évora ; Alentejo ; Alentejo Central ;955690.92;11953.99;7146.19
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Redondo ; Évora ; Alentejo ; Alentejo Central ;541411.34;8503.16;4846.78
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Santarém ; Santarém ; Alentejo ; Lezíria do Tejo ;262444.00;4330.32;2468.26
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Serpa ; Beja ; Alentejo ; Baixo Alentejo ;6841034.97;104422.81;60562.46
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Sousel ; Portalegre ; Alentejo ; Alto Alentejo ;126762.77;1760.50;1032.29
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Viana do Alentejo ; Évora ; Alentejo ; Alentejo Central ;2539315.58;31251.45;18741.09
 2’017 ; olival - azeite ; olive grove - olive oil ; C ; Vidigueira ; Beja ; Alentejo ; Baixo Alentejo ;679688.98;11173.03;6628.94
 2’017 ; olival - azeite ; olive grove - olive oil ; D ; Fundão ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;2430.00;49.08;27.97
 2’017 ; olival - azeite ; olive grove - olive oil ; D ; Idanha-a-Nova ; Castelo Branco ; Região do Centro ; Beira Baixa ;414.00;9.11;4.77
 2’017 ; olival - azeite ; olive grove - olive oil ; D ; Mação ; Santarém ; Região do Centro ; Médio Tejo ;254.40;5.13;2.92
 2’017 ; olival - azeite ; olive grove - olive oil ; D ; Mirandela ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;24532.00;495.57;282.44
 2’017 ; olival - azeite ; olive grove - olive oil ; D ; Vila Flôr ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;74574.00;1506.36;858.62
 2’017 ; olival - azeite ; olive grove - olive oil ; E ; Figueira de Castelo Rodrigo ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;4482.80;147.49;84.08
 2’017 ; olival - azeite ; olive grove - olive oil ; E ; Mogadouro ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;42038.70;1495.82;788.35
 2’017 ; olival - azeitona de mesa ; olive grove - table olives ; C ; Beja ; Beja ; Alentejo ; Baixo Alentejo ;401152.84;5695.65;3417.83
 2’017 ; olival - azeitona de mesa ; olive grove - table olives ; C ; Elvas ; Portalegre ; Alentejo ; Alto Alentejo ;45430.40;809.42;449.15
 2’017 ; olival - azeitona de mesa ; olive grove - table olives ; C ; Évora ; Évora ; Alentejo ; Alentejo Central ;151432.46;2149.95;1290.19
 2’017 ; olival - azeitona de mesa ; olive grove - table olives ; C ; Mértola ; Beja ; Alentejo ; Baixo Alentejo ;80790.00;1333.03;759.83
 2’017 ; olival - azeitona de mesa ; olive grove - table olives ; C ; Serpa ; Beja ; Alentejo ; Baixo Alentejo ;712501.28;10116.14;6070.56
 2’017 ; olival - azeitona de mesa ; olive grove - table olives ; C ; Vidigueira ; Beja ; Alentejo ; Baixo Alentejo ;309498.84;4394.33;2636.94
 2’017 ; outras em forçagem ; other in forcing ; A ; Castro Marim ; Faro ; Algarve ; Algarve ;84000.00;428.40;244.18
 2’017 ; outras em forçagem ; other in forcing ; B ; Alcobaça ; Leiria ; Região do Centro ; Oeste ;15600.60;99.84;56.91
 2’017 ; outras em forçagem ; other in forcing ; B ; Esposende ; Braga ; Região do Norte ; Cávado ;210000.15;1344.00;800.64
 2’017 ; outras em forçagem ; other in forcing ; B ; Montijo ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;156000.00;998.40;569.08
 2’017 ; outras em forçagem ; other in forcing ; B ; Viana do Castelo ; Viana do Castelo ; Região do Norte ; Alto Minho ;174800.92;1118.72;637.66
 2’017 ; outras em forçagem ; other in forcing ; C ; Entroncamento ; Santarém ; Região do Centro ; Médio Tejo ;3333.77;25.33;14.44
 2’017 ; outras em forçagem ; other in forcing ; D ; Castelo Branco ; Castelo Branco ; Região do Centro ; Beira Baixa ;24000.00;336.00;201.60
 2’017 ; outras em forçagem ; other in forcing ; D ; Viseu ; Viseu ; Região do Centro ; Viseu Dão Lafões ;13600.57;190.40;108.53
 2’017 ; palhas ; straw ; B ; Alcácer do Sal ; Setúbal ; Alentejo ; Alentejo Litoral ;7503.75;36.83;15.09
 2’017 ; palhas ; straw ; B ; Alenquer ; Lisboa ; Região do Centro ; Oeste ;12731.70;43.27;24.66
 2’017 ; palhas ; straw ; B ; Arruda Dos Vinhos ; Lisboa ; Região do Centro ; Oeste ;4296.59;14.60;8.31
 2’017 ; palhas ; straw ; B ; Odemira ; Beja ; Alentejo ; Alentejo Litoral ;9050.81;30.77;17.91
 2’017 ; palhas ; straw ; B ; Santiago do Cacém ; Setúbal ; Alentejo ; Alentejo Litoral ;44721.04;151.93;89.66
 2’017 ; palhas ; straw ; B ; Sines ; Setúbal ; Alentejo ; Alentejo Litoral ;2122.02;7.21;4.33
 2’017 ; palhas ; straw ; B ; Vila Franca de Xira ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;10102.12;34.33;19.56
 2’017 ; palhas ; straw ; C ; Alandroal ; Évora ; Alentejo ; Alentejo Central ;165826.61;679.77;406.74
 2’017 ; palhas ; straw ; C ; Aljustrel ; Beja ; Alentejo ; Baixo Alentejo ;225405.42;922.17;549.19
 2’017 ; palhas ; straw ; C ; Almodôvar ; Beja ; Alentejo ; Baixo Alentejo ;4061.40;16.63;9.47
 2’017 ; palhas ; straw ; C ; Alter do Chão ; Portalegre ; Alentejo ; Alto Alentejo ;20667.86;84.73;50.84
 2’017 ; palhas ; straw ; C ; Arraiolos ; Évora ; Alentejo ; Alentejo Central ;587.26;2.40;1.45
 2’017 ; palhas ; straw ; C ; Arronches ; Portalegre ; Alentejo ; Alto Alentejo ;43964.17;180.22;105.35
 2’017 ; palhas ; straw ; C ; Avis ; Portalegre ; Alentejo ; Alto Alentejo ;9206.40;37.73;22.63
 2’017 ; palhas ; straw ; C ; Beja ; Beja ; Alentejo ; Baixo Alentejo ;585262.65;2366.40;1414.21
 2’017 ; palhas ; straw ; C ; Borba ; Évora ; Alentejo ; Alentejo Central ;360.00;1.47;0.84
 2’017 ; palhas ; straw ; C ; Campo Maior ; Portalegre ; Alentejo ; Alto Alentejo ;431240.08;1767.99;1059.95
 2’017 ; palhas ; straw ; C ; Castelo de Vide ; Portalegre ; Alentejo ; Alto Alentejo ;3680.88;15.06;8.94
 2’017 ; palhas ; straw ; C ; Castro Verde ; Beja ; Alentejo ; Baixo Alentejo ;127650.61;523.31;310.97
 2’017 ; palhas ; straw ; C ; Cuba ; Beja ; Alentejo ; Baixo Alentejo ;14583.57;59.72;35.48
 2’017 ; palhas ; straw ; C ; Elvas ; Portalegre ; Alentejo ; Alto Alentejo ;230132.17;953.45;562.22
 2’017 ; palhas ; straw ; C ; Estremoz ; Évora ; Alentejo ; Alentejo Central ;30539.01;124.96;72.92
 2’017 ; palhas ; straw ; C ; Évora ; Évora ; Alentejo ; Alentejo Central ;227449.70;932.49;545.89
 2’017 ; palhas ; straw ; C ; Ferreira do Alentejo ; Beja ; Alentejo ; Baixo Alentejo ;111966.18;457.95;270.37
 2’017 ; palhas ; straw ; C ; Fronteira ; Portalegre ; Alentejo ; Alto Alentejo ;45507.13;186.58;111.97
 2’017 ; palhas ; straw ; C ; Mértola ; Beja ; Alentejo ; Baixo Alentejo ;57923.18;228.18;136.18
 2’017 ; palhas ; straw ; C ; Monforte ; Portalegre ; Alentejo ; Alto Alentejo ;75495.46;309.53;185.67
 2’017 ; palhas ; straw ; C ; Montemor-o-Novo ; Évora ; Alentejo ; Alentejo Central ;18057.02;74.04;42.20
 2’017 ; palhas ; straw ; C ; Mora ; Évora ; Alentejo ; Alentejo Central ;1457.81;18.44;3.41
 2’017 ; palhas ; straw ; C ; Moura ; Beja ; Alentejo ; Baixo Alentejo ;47437.28;194.28;113.42
 2’017 ; palhas ; straw ; C ; Mourão ; Évora ; Alentejo ; Alentejo Central ;6432.70;26.36;15.44
 2’017 ; palhas ; straw ; C ; Ourique ; Beja ; Alentejo ; Baixo Alentejo ;16495.30;67.62;38.59
 2’017 ; palhas ; straw ; C ; Portel ; Évora ; Alentejo ; Alentejo Central ;28570.24;117.14;70.08
 2’017 ; palhas ; straw ; C ; Redondo ; Évora ; Alentejo ; Alentejo Central ;35356.34;144.98;86.99
 2’017 ; palhas ; straw ; C ; Reguengos de Monsaraz ; Évora ; Alentejo ; Alentejo Central ;10902.46;44.69;26.80
 2’017 ; palhas ; straw ; C ; Santarém ; Santarém ; Alentejo ; Lezíria do Tejo ;7151.10;29.23;17.37
 2’017 ; palhas ; straw ; C ; Serpa ; Beja ; Alentejo ; Baixo Alentejo ;161352.03;661.31;388.02
 2’017 ; palhas ; straw ; C ; Sousel ; Portalegre ; Alentejo ; Alto Alentejo ;23626.68;122.44;57.46
 2’017 ; palhas ; straw ; C ; Torres Novas ; Santarém ; Região do Centro ; Médio Tejo ;907.87;3.70;2.20
 2’017 ; palhas ; straw ; C ; Viana do Alentejo ; Évora ; Alentejo ; Alentejo Central ;11052.55;45.30;27.18
 2’017 ; palhas ; straw ; C ; Vidigueira ; Beja ; Alentejo ; Baixo Alentejo ;14949.15;61.28;36.61
 2’017 ; palhas ; straw ; C ; Vila Viçosa ; Évora ; Alentejo ; Alentejo Central ;27847.06;114.17;68.50
 2’017 ; palhas ; straw ; D ; Abrantes ; Santarém ; Região do Centro ; Médio Tejo ;2595.09;19.46;11.67
 2’017 ; palhas ; straw ; D ; Fundão ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;193.10;1.44;0.82
 2’017 ; palhas ; straw ; D ; Idanha-a-Nova ; Castelo Branco ; Região do Centro ; Beira Baixa ;4125.87;30.95;18.58
 2’017 ; palhas ; straw ; E ; Bragança ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;5881.01;60.48;34.89
 2’017 ; palhas ; straw ; E ; Guarda ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;182.40;1.87;1.07
 2’017 ; palhas ; straw ; E ; Miranda do Douro ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;1911.41;19.61;11.58
 2’017 ; pepino ; cucumber ; A ; Tavira ; Faro ; Algarve ; Algarve ;3600.00;18.36;10.46
 2’017 ; pepino ; cucumber ; B ; Alcobaça ; Leiria ; Região do Centro ; Oeste ;171.60;1.09;0.62
 2’017 ; pêra ; pear ; A ; Loures ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;11453.75;406.61;231.77
 2’017 ; pêra ; pear ; A ; Lourinhã ; Lisboa ; Região do Centro ; Oeste ;828694.91;29418.64;17426.79
 2’017 ; pêra ; pear ; A ; Mafra ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;507875.80;17656.18;10308.55
 2’017 ; pêra ; pear ; A ; Torres Vedras ; Lisboa ; Região do Centro ; Oeste ;1651291.68;57699.14;34212.41
 2’017 ; pêra ; pear ; B ; Alcobaça ; Leiria ; Região do Centro ; Oeste ;2617203.49;131035.30;78405.73
 2’017 ; pêra ; pear ; B ; Alenquer ; Lisboa ; Região do Centro ; Oeste ;156994.75;7652.13;4591.28
 2’017 ; pêra ; pear ; B ; Arruda Dos Vinhos ; Lisboa ; Região do Centro ; Oeste ;3750.00;196.88;118.13
 2’017 ; pêra ; pear ; B ; Azambuja ; Lisboa ; Alentejo ; Lezíria do Tejo ;276200.00;12849.74;7709.83
 2’017 ; pêra ; pear ; B ; Bombarral ; Leiria ; Região do Centro ; Oeste ;1599008.30;83352.77;49290.50
 2’017 ; pêra ; pear ; B ; Cadaval ; Lisboa ; Região do Centro ; Oeste ;3462395.84;156550.46;93349.29
 2’017 ; pêra ; pear ; B ; Caldas da Rainha ; Leiria ; Região do Centro ; Oeste ;1917761.50;97203.55;58040.96
 2’017 ; pêra ; pear ; B ; Leiria ; Leiria ; Região do Centro ; Região de Leiria ;11427.70;508.32;305.12
 2’017 ; pêra ; pear ; B ; Montijo ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;750.00;39.37;22.44
 2’017 ; pêra ; pear ; B ; Nazaré ; Leiria ; Região do Centro ; Oeste ;222261.25;11605.21;6963.13
 2’017 ; pêra ; pear ; B ; Óbidos ; Leiria ; Região do Centro ; Oeste ;429543.00;22270.98;13151.46
 2’017 ; pêra ; pear ; B ; Palmela ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;7055.40;370.41;222.24
 2’017 ; pêra ; pear ; B ; Porto de Mós ; Leiria ; Região do Centro ; Região de Leiria ;272075.07;12142.88;7289.00
 2’017 ; pêra ; pear ; B ; Rio Maior ; Santarém ; Alentejo ; Lezíria do Tejo ;603315.00;31673.80;19003.57
 2’017 ; pêra ; pear ; B ; Sobral de Monte Agraço ; Lisboa ; Região do Centro ; Oeste ;22963.75;1205.60;723.36
 2’017 ; pêra ; pear ; C ; Alandroal ; Évora ; Alentejo ; Alentejo Central ;122700.00;12871.21;7722.72
 2’017 ; pêra ; pear ; C ; Batalha ; Leiria ; Região do Centro ; Região de Leiria ;26669.54;2368.52;1420.95
 2’017 ; pêra ; pear ; C ; Beja ; Beja ; Alentejo ; Baixo Alentejo ;291217.50;21987.00;13192.20
 2’017 ; pêra ; pear ; C ; Campo Maior ; Portalegre ; Alentejo ; Alto Alentejo ;898190.00;94220.46;56532.09
 2’017 ; pêra ; pear ; C ; Cartaxo ; Santarém ; Alentejo ; Lezíria do Tejo ;73905.00;6200.63;3720.37
 2’017 ; pêra ; pear ; C ; Ferreira do Alentejo ; Beja ; Alentejo ; Baixo Alentejo ;627902.75;65867.23;39520.21
 2’017 ; pêra ; pear ; C ; Portalegre ; Portalegre ; Alentejo ; Alto Alentejo ;9817.50;1029.86;617.91
 2’017 ; pêra ; pear ; D ; Armamar ; Viseu ; Região do Norte ; Douro ;68523.00;13320.92;7992.58
 2’017 ; pêra ; pear ; D ; Belmonte ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;38037.50;9436.84;5479.69
 2’017 ; pêra ; pear ; D ; Covilhã ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;185288.50;47323.64;26692.63
 2’017 ; pêra ; pear ; D ; Fundão ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;40645.00;9758.84;5855.30
 2’017 ; pêra ; pear ; D ; Gouveia ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;31625.00;8218.10;4555.90
 2’017 ; pêra ; pear ; D ; Lamego ; Viseu ; Região do Norte ; Douro ;127185.76;29387.98;17632.79
 2’017 ; pêra ; pear ; D ; Mangualde ; Viseu ; Região do Centro ; Viseu Dão Lafões ;5625.00;1591.46;810.33
 2’017 ; pêra ; pear ; D ; Sabugal ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;49826.25;12561.19;7177.97
 2’017 ; pêra ; pear ; D ; São Pedro do Sul ; Viseu ; Região do Centro ; Viseu Dão Lafões ;3000.00;812.70;432.18
 2’017 ; pêra ; pear ; D ; Seia ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;12020.00;2886.01;1731.61
 2’017 ; pêra ; pear ; D ; Tábua ; Coimbra ; Região do Centro ; Região de Coimbra ;32827.50;8666.46;4729.14
 2’017 ; pêra ; pear ; D ; Tondela ; Viseu ; Região do Centro ; Viseu Dão Lafões ;3225.00;873.65;464.59
 2’017 ; pêra ; pear ; D ; Valpaços ; Vila Real ; Região do Norte ; Alto Tâmega ;14250.00;3421.42;2052.85
 2’017 ; pêra ; pear ; D ; Viseu ; Viseu ; Região do Centro ; Viseu Dão Lafões ;1658.43;436.83;238.91
 2’017 ; pêra ; pear ; D ; Vouzela ; Viseu ; Região do Centro ; Viseu Dão Lafões ;4025.00;1090.38;579.85
 2’017 ; pêra ; pear ; E ; Aguiar da Beira ; Guarda ; Região do Centro ; Viseu Dão Lafões ;6250.00;1857.49;1114.49
 2’017 ; pêra ; pear ; E ; Fornos de Algodres ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;6562.50;1576.97;946.18
 2’017 ; pêra ; pear ; E ; Guarda ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;99422.14;29548.25;17728.94
 2’017 ; pêra ; pear ; E ; Moimenta da Beira ; Viseu ; Região do Norte ; Douro ;28772.25;7503.06;4501.83
 2’017 ; pêra ; pear ; E ; Penalva do Castelo ; Viseu ; Região do Centro ; Viseu Dão Lafões ;10400.38;3090.99;1854.60
 2’017 ; pêra ; pear ; E ; Pinhel ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;54461.25;16185.87;9711.52
 2’017 ; pêra ; pear ; E ; Sernancelhe ; Viseu ; Região do Norte ; Douro ;2250.00;600.75;360.45
 2’017 ; pêra ; pear ; E ; Tarouca ; Viseu ; Região do Norte ; Douro ;39137.25;11631.56;6978.94
 2’017 ; pêra ; pear ; E ; Trancoso ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;29056.25;8635.52;5181.30
 2’017 ; pêra ; pear ; Interior Norte ; Armamar ; Viseu ; Região do Norte ; Douro ;8500.00;1496.92;898.11
 2’017 ; pêra ; pear ; Interior Norte ; Carrazeda de Ansiães ; Bragança ; Região do Norte ; Douro ;38781.25;9164.02;5498.41
 2’017 ; pêra ; pear ; Interior Norte ; Lamego ; Viseu ; Região do Norte ; Douro ;93600.00;16483.82;9889.79
 2’017 ; pêra ; pear ; Interior Norte ; Tarouca ; Viseu ; Região do Norte ; Douro ;58470.00;10297.14;6177.95
 2’017 ; pêssego ; peach ; B ; Alcobaça ; Leiria ; Região do Centro ; Oeste ;22267.00;1092.15;655.28
 2’017 ; pêssego ; peach ; B ; Alenquer ; Lisboa ; Região do Centro ; Oeste ;22077.00;1101.35;660.99
 2’017 ; pêssego ; peach ; B ; Caldas da Rainha ; Leiria ; Região do Centro ; Oeste ;1440.00;68.11;40.87
 2’017 ; pêssego ; peach ; B ; Montijo ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;799.20;41.96;23.92
 2’017 ; pêssego ; peach ; B ; Palmela ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;2374.40;124.65;74.79
 2’017 ; pêssego ; peach ; B ; Porto de Mós ; Leiria ; Região do Centro ; Região de Leiria ;765.00;40.16;24.10
 2’017 ; pêssego ; peach ; C ; Alandroal ; Évora ; Alentejo ; Alentejo Central ;156200.00;16385.38;9831.22
 2’017 ; pêssego ; peach ; C ; Beja ; Beja ; Alentejo ; Baixo Alentejo ;246090.00;18579.86;11147.92
 2’017 ; pêssego ; peach ; C ; Coruche ; Santarém ; Alentejo ; Lezíria do Tejo ;15894.40;1500.42;900.25
 2’017 ; pêssego ; peach ; C ; Ferreira do Alentejo ; Beja ; Alentejo ; Baixo Alentejo ;51230.90;5374.14;3224.47
 2’017 ; pêssego ; peach ; C ; Mora ; Évora ; Alentejo ; Alentejo Central ;196278.00;20589.56;12353.73
 2’017 ; pêssego ; peach ; C ; Santarém ; Santarém ; Alentejo ; Lezíria do Tejo ;84156.00;8827.96;5031.94
 2’017 ; pêssego ; peach ; C ; Serpa ; Beja ; Alentejo ; Baixo Alentejo ;12660.00;1328.03;756.98
 2’017 ; pêssego ; peach ; D ; Belmonte ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;490778.55;120736.43;70701.51
 2’017 ; pêssego ; peach ; D ; Castelo Branco ; Castelo Branco ; Região do Centro ; Beira Baixa ;549061.20;125240.80;75144.48
 2’017 ; pêssego ; peach ; D ; Covilhã ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;1282299.04;316457.36;184727.86
 2’017 ; pêssego ; peach ; D ; Fundão ; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;1349912.80;325679.12;194468.26
 2’017 ; pêssego ; peach ; D ; Lamego ; Viseu ; Região do Norte ; Douro ;4044.00;786.15;471.69
 2’017 ; pêssego ; peach ; D ; Mêda ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;13701.60;3454.17;1973.85
 2’017 ; pêssego ; peach ; D ; Sabugal ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;255926.00;64518.94;36868.69
 2’017 ; pêssego ; peach ; E ; Celorico da Beira ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;2778.00;825.62;495.37
 2’017 ; pêssego ; peach ; E ; Guarda ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;51435.00;15286.48;9171.90
 2’017 ; pêssego ; peach ; E ; Sernancelhe ; Viseu ; Região do Norte ; Douro ;1620.00;389.29;233.57
 2’017 ; pêssego ; peach ; E ; Tarouca ; Viseu ; Região do Norte ; Douro ;900.00;226.50;135.92
 2’017 ; pêssego ; peach ; E ; Trancoso ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;42762.00;12708.87;7625.32
 2’017 ; pimento ; pepper ; B ; Azambuja ; Lisboa ; Alentejo ; Lezíria do Tejo ;68175.00;355.49;212.71
 2’017 ; pimento ; pepper ; B ; Póvoa de Varzim ; Porto ; Região do Norte ; Área Metropolitana do Porto ;5000.00;32.00;19.20
 2’017 ; pimento ; pepper ; B ; Rio Maior ; Santarém ; Alentejo ; Lezíria do Tejo ;99268.40;1260.68;731.49
 2’017 ; pimento ; pepper ; B ; Vila Franca de Xira ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;248001.28;3149.61;1889.76
 2’017 ; pimento ; pepper ; C ; Alpiarça ; Santarém ; Alentejo ; Lezíria do Tejo ;297000.01;1548.70;926.64
 2’017 ; pimento ; pepper ; C ; Cartaxo ; Santarém ; Alentejo ; Lezíria do Tejo ;24200.00;399.30;239.58
 2’017 ; pimento ; pepper ; C ; Coruche ; Santarém ; Alentejo ; Lezíria do Tejo ;394561.80;2518.46;1490.63
 2’017 ; pimento ; pepper ; C ; Elvas ; Portalegre ; Alentejo ; Alto Alentejo ;400435.20;6607.20;3795.04
 2’017 ; pimento ; pepper ; C ; Évora ; Évora ; Alentejo ; Alentejo Central ;650000.00;10725.00;6113.25
 2’017 ; pimento ; pepper ; C ; Ponte de Sôr ; Portalegre ; Alentejo ; Alto Alentejo ;98550.00;1626.07;969.63
 2’017 ; pimento ; pepper ; C ; Salvaterra de Magos ; Santarém ; Alentejo ; Lezíria do Tejo ;193590.00;1009.46;604.00
 2’017 ; pimento ; pepper ; C ; Santarém ; Santarém ; Alentejo ; Lezíria do Tejo ;393095.00;4100.18;2449.79
 2’017 ; pimento ; pepper ; C ; Sousel ; Portalegre ; Alentejo ; Alto Alentejo ;372500.00;9312.50;3687.75
 2’017 ; pimento ; pepper ; D ; Abrantes ; Santarém ; Região do Centro ; Médio Tejo ;109200.00;2205.84;1257.32
 2’017 ; rabanete ; radish ; B ; Odemira ; Beja ; Alentejo ; Alentejo Litoral ;60200.00;662.20;219.61
 2’017 ; sabugueiro (baga) ; elderberry (berry) ; D ; Armamar ; Viseu ; Região do Norte ; Douro ;3360.00;117.56;70.56
 2’017 ; sabugueiro (baga) ; elderberry (berry) ; E ; Tarouca ; Viseu ; Região do Norte ; Douro ;12540.00;438.79;263.35
 2’017 ; sorgo ; sorghum ; C ; Alandroal ; Évora ; Alentejo ; Alentejo Central ;17932.50;73.52;44.11
 2’017 ; sorgo ; sorghum ; C ; Fronteira ; Portalegre ; Alentejo ; Alto Alentejo ;20340.00;83.39;50.03
 2’017 ; tangera ; tangerine ; A ; Loulé ; Faro ; Algarve ; Algarve ;31656.00;1354.07;812.43
 2’017 ; tangera ; tangerine ; A ; Silves ; Faro ; Algarve ; Algarve ;11780.00;435.87;261.53
 2’017 ; tangerina ; tangerine ; A ; Albufeira ; Faro ; Algarve ; Algarve ;34514.00;1277.02;764.75
 2’017 ; tangerina ; tangerine ; A ; Loulé ; Faro ; Algarve ; Algarve ;50354.40;1911.74;1144.64
 2’017 ; tangerina ; tangerine ; A ; Silves ; Faro ; Algarve ; Algarve ;134268.65;5532.73;3235.28
 2’017 ; tomate ; tomato ; A ; Torres Vedras ; Lisboa ; Região do Centro ; Oeste ;203860.00;1134.55;592.61
 2’017 ; tomate ; tomato ; B ; Alcobaça ; Leiria ; Região do Centro ; Oeste ;1976.00;12.64;7.20
 2’017 ; tomate ; tomato ; B ; Póvoa de Varzim ; Porto ; Região do Norte ; Área Metropolitana do Porto ;5000.16;32.00;18.24
 2’017 ; tomate ; tomato ; D ; Barcelos ; Braga ; Região do Norte ; Cávado ;5000.00;70.00;39.90
 2’017 ; tomate ; tomato ; D ; Valença ; Viana do Castelo ; Região do Norte ; Alto Minho ;4000.00;100.00;31.92
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; A ; Loures ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;1169868.00;42810.26;25686.11
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Alenquer ; Lisboa ; Região do Centro ; Oeste ;339510.00;12353.58;7412.14
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Azambuja ; Lisboa ; Alentejo ; Lezíria do Tejo ;8120026.92;294825.64;175856.37
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Grândola ; Setúbal ; Alentejo ; Alentejo Litoral ;128182.50;4614.63;2768.78
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Montijo ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;766165.50;29114.61;17468.77
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Odemira ; Beja ; Alentejo ; Alentejo Litoral ;215973.00;7775.11;4665.07
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Rio Maior ; Santarém ; Alentejo ; Lezíria do Tejo ;882798.83;37860.96;21446.57
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Santiago do Cacém ; Setúbal ; Alentejo ; Alentejo Litoral ;1401833.25;50466.51;30279.91
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; B ; Vila Franca de Xira ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;11855957.30;424012.42;254281.10
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; C ; Aljustrel ; Beja ; Alentejo ; Baixo Alentejo ;274306.50;9874.99;5924.99
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; C ; Almeirim ; Santarém ; Alentejo ; Lezíria do Tejo ;3105068.97;107770.61;64673.50
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; C ; Alpiarça ; Santarém ; Alentejo ; Lezíria do Tejo ;2006732.93;71848.76;43123.75
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; C ; Beja ; Beja ; Alentejo ; Baixo Alentejo ;58482.00;2105.33;1263.20
 2’017 ;TOMATE PARA INDÚSTRIA - CHUVA PERSISTENTE; tomato for industry ; C ; Benavente ; Santarém ; Alentejo ; Lezíria do Tejo ;4407134.54;157128.81;94298.64
